0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:09:26 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:09:27 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52336
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:10:24 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52335
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:10:25 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52335
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:11:39 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52420
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:11:40 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52420
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:12:16 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52444
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:12:48 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52449
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:13:14 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:13:14 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52444
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:15:19 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52517
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:15:20 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52517
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:15:37 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52518
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:18:45 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52413
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:19:17 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52436
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:19:56 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52436
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:20:14 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:20:14 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52448
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:20:26 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52448
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:23:49 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52448
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:25:45 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 52623
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:35:33 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 87660
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:35:34 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 87661
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:36:39 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 90073
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:37:14 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 90072
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:38:24 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 90066
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:38:57 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 90088
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:39:21 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 90088
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:39:59 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 90088
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:40:04 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:40:04 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 8206
